model_id,training_epoch,training_loss,total_parameters,model_class,rmse,ks_statistic,ks_p_value,wasserstein_distance,distributions_similar,std_rmse,std_correlation,std_mean_absolute_error,dataset,ks_statistic_rank,wasserstein_distance_rank,rmse_rank,std_rmse_rank,weighted_average_rank,unweighted_average_rank,average_rank
A4,79,-3.46207395195961,199,A4Model,3.5165255,0.3166035353535353,1.02478401729806e-140,1.8922514430610295,False,1.2989415,0.8153463505405588,1.2381173,ou_process,7.0,7.0,6.0,6.0,6.647058823529412,6.5,6.647058823529412
A3,57,0.0001111125775705,199,A3Model,4.302117,0.3472222222222222,8.861146012546857e-170,2.5099730821072077,False,3.515216,0.6660308218759587,3.3496943,ou_process,8.0,9.0,9.0,8.0,8.411764705882353,8.5,8.411764705882353
B5,100,0.4403328970074653,9027,B5Model,0.5134019,0.4791666666666667,0.0,0.3750777962142815,False,0.50677234,-0.9361049879916828,0.48260972,ou_process,9.0,5.0,1.0,5.0,5.9411764705882355,5.0,5.9411764705882355
B2,17,-0.4755232241004705,9027,B2Model,0.8141169,0.1142676767676767,1.995430139105892e-18,0.1565892293226992,False,0.3725432,0.9217485960482026,0.34069744,ou_process,1.0,3.0,5.0,4.0,2.764705882352941,3.25,2.764705882352941
B3,8,-4.066603988409042,9027,B3Model,0.7913024,0.1208964646464646,1.3985066025985635e-20,0.1415593493138038,False,0.2777838,0.913454020601734,0.2467155,ou_process,2.0,2.0,4.0,2.0,2.235294117647059,2.5,2.235294117647059
B4,23,0.1343953516334295,9027,B4Model,0.7392024,0.1303661616161616,7.163365161631761e-24,0.1294899533720581,False,0.09310909,0.8408286805983511,0.066759236,ou_process,3.0,1.0,3.0,1.0,1.9411764705882353,2.0,1.9411764705882353
A2,57,-0.4101083539426327,199,A2Model,3.6035054,0.2834595959595959,1.7411349017727007e-112,1.8660395430216925,False,1.8709927,0.5351534725535233,1.7805034,ou_process,5.0,6.0,7.0,7.0,6.0,6.25,6.0
B1,11,-1.553712701787032,9027,B1Model,0.55575883,0.2001262626262626,6.803893307044244e-56,0.2112704681281946,False,0.35597077,-0.8124688351678835,0.32207146,ou_process,4.0,4.0,2.0,3.0,3.5294117647058822,3.25,3.5294117647058822
A1,79,-3.46207395195961,199,A1FinalModel,3.6235623,0.2992424242424242,1.6294620402786674e-125,1.9549991548462409,False,3.5981402,0.839124912345227,3.3608806,ou_process,6.0,8.0,8.0,9.0,7.529411764705882,7.75,7.529411764705882
A4,16,-7.45443320274353,199,A4Model,1.4254787,0.1190025252525252,5.938950047460576e-20,0.4134095476711908,False,0.3172832,0.8798782052950005,0.26755753,heston,1.0,5.0,7.0,1.0,2.8823529411764706,3.5,2.8823529411764706
A3,70,0.264819048436802,199,A3Model,15.173829,0.3109217171717172,1.220549908945177e-135,5.496671583094625,False,13.773864,-0.0766159442087319,11.419277,heston,5.0,9.0,9.0,9.0,7.588235294117647,8.0,7.588235294117647
B5,87,0.0627697589807212,9027,B5Model,0.5501521,0.5129419191919192,0.0,0.4251497604469165,False,0.54356545,-0.8911677154437083,0.5217537,heston,9.0,7.0,1.0,6.0,6.764705882352941,5.75,6.764705882352941
B2,8,0.5496572274714708,9027,B2Model,0.77714705,0.4567550505050505,2.4853661749230835e-298,0.3354619009151341,False,0.407123,-0.8545429322479182,0.3679874,heston,7.0,3.0,5.0,3.0,4.647058823529412,4.5,4.647058823529412
B3,11,-7.366117298603058,9027,B3Model,0.55468947,0.4933712121212121,0.0,0.4203429884902208,False,0.5332668,-0.951717907084764,0.5096607,heston,8.0,6.0,3.0,5.0,6.117647058823529,5.5,6.117647058823529
B4,24,0.0696106057148426,9027,B4Model,0.5511012,0.276199494949495,9.62479040472812e-107,0.3012129452997003,False,0.41453382,0.8616642743046452,0.3940933,heston,4.0,2.0,2.0,4.0,3.176470588235294,3.0,3.176470588235294
A2,40,-0.9266527220606804,199,A2Model,2.330822,0.2402146464646464,1.3859572075539844e-80,1.0577096260436207,False,1.6005085,0.377435913076064,1.4133148,heston,3.0,8.0,8.0,8.0,6.235294117647059,6.75,6.235294117647059
B1,8,-0.9265078517556956,9027,B1Model,0.6644932,0.3169191919191919,5.317970751319032e-141,0.2866155256782748,False,0.35225374,0.5639403236365764,0.3318326,heston,6.0,1.0,4.0,2.0,3.3529411764705883,3.25,3.3529411764705883
A1,25,-7.444044351577759,199,A1FinalModel,1.202215,0.1319444444444444,1.9156140998093262e-24,0.3633947066175207,False,0.7154609,0.8700736941660702,0.60146457,heston,2.0,4.0,6.0,7.0,4.235294117647059,4.75,4.235294117647059
A4,16,-7.542646408081055,199,A4Model,2.0381727,0.2032828282828283,1.1394719741785994e-57,0.8686637478922835,False,1.5048419,0.7285058836190076,1.2527691,rbergomi,2.0,7.0,7.0,7.0,5.235294117647059,5.75,5.235294117647059
A3,98,0.3376081863970266,199,A3Model,41.890602,0.4005681818181818,1.8161677483410774e-227,18.052458161070188,False,39.918545,-0.0203196966050464,36.95468,rbergomi,7.0,9.0,9.0,9.0,8.294117647058824,8.5,8.294117647058824
B5,75,0.0495194857940077,9027,B5Model,0.5485437,0.4924242424242424,0.0,0.4094164643468392,False,0.5415538,-0.9522871106993184,0.5189164,rbergomi,9.0,5.0,2.0,6.0,6.294117647058823,5.5,6.294117647058823
B2,11,0.5623612459748983,9027,B2Model,0.69279164,0.2765151515151515,5.457379920386147e-107,0.229374264678739,False,0.3086527,0.8042403563996596,0.29531395,rbergomi,5.0,2.0,5.0,2.0,3.411764705882353,3.5,3.411764705882353
B3,9,-7.493896096944809,9027,B3Model,0.5450394,0.4725378787878788,3.501e-320,0.4072941702873671,False,0.53199464,-0.8609401126272274,0.5087393,rbergomi,8.0,4.0,1.0,5.0,5.294117647058823,4.5,5.294117647058823
B4,26,0.0636226388160139,9027,B4Model,0.5565913,0.3112373737373737,6.414204263907851e-136,0.3141421551399754,False,0.40689638,0.8436181308168312,0.3868194,rbergomi,6.0,3.0,3.0,3.0,4.0588235294117645,3.75,4.0588235294117645
A2,46,-0.9311449602246284,199,A2Model,2.3968606,0.255050505050505,6.59740433352951e-91,1.310068204255256,False,1.7791098,0.4340152349340401,1.671827,rbergomi,4.0,8.0,8.0,8.0,6.588235294117647,7.0,6.588235294117647
B1,5,-0.903194210383442,9027,B1Model,0.6765966,0.2515782828282828,1.9638687888024132e-88,0.2032512427173528,False,0.15977727,0.852225194919701,0.14411625,rbergomi,3.0,1.0,4.0,1.0,2.0588235294117645,2.25,2.0588235294117645
A1,27,-7.565753221511841,199,A1FinalModel,1.3753486,0.1029040404040404,5.109342718036736e-15,0.4126089797251377,False,0.4471705,0.7790645487992272,0.3981916,rbergomi,1.0,6.0,6.0,4.0,3.764705882352941,4.25,3.764705882352941
A4,25,-2.8526949882507324,199,A4Model,1.2543633,0.1363636363636363,4.3785236717291517e-26,0.3891579046965563,False,1.2232914,0.61275483942216,1.1538129,brownian,1.0,6.0,6.0,6.0,4.235294117647059,4.75,4.235294117647059
A3,100,-0.0016160920454191,199,A3Model,4.1539497,0.3825757575757575,5.447156893267336e-207,2.4423260993725027,False,3.7128227,0.7530551421641792,3.4476624,brownian,8.0,9.0,9.0,9.0,8.647058823529411,8.75,8.647058823529411
B5,100,0.6672042794525623,9027,B5Model,0.62952745,0.444760101010101,2.644198034880433e-282,0.3040856150010501,False,0.5241176,-0.8708710166852414,0.49865484,brownian,9.0,4.0,1.0,4.0,5.411764705882353,4.5,5.411764705882353
B2,12,-0.174843359272927,9027,B2Model,0.71527714,0.1985479797979798,5.1294798570356086e-55,0.1783925340007798,False,0.10516581,0.8444898033972088,0.090607435,brownian,4.0,2.0,2.0,1.0,2.4705882352941178,2.25,2.4705882352941178
B3,21,-2.7008599899709225,9027,B3Model,0.7241208,0.1830808080808081,8.529390185969511e-47,0.2269745135203486,False,0.14171366,0.9755516518571312,0.13242328,brownian,3.0,3.0,3.0,2.0,2.764705882352941,2.75,2.764705882352941
B4,10,0.2460194565355777,9027,B4Model,0.91417515,0.2395833333333333,3.687313357610354e-80,0.3611200973238848,False,0.5799483,0.8898077888906568,0.5337129,brownian,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A2,46,-0.3136077262461185,199,A2Model,2.4587255,0.3519570707070707,1.559851780303363e-174,1.2471328886030728,False,2.1185386,0.5735402514433042,2.0645108,brownian,7.0,8.0,8.0,8.0,7.647058823529412,7.75,7.647058823529412
B1,42,-2.3185764258405546,9027,B1Model,0.7979733,0.1789772727272727,9.942245923334837e-45,0.1616782357474276,False,0.35850963,-0.6237656843435483,0.321847,brownian,2.0,1.0,4.0,3.0,2.176470588235294,2.5,2.176470588235294
A1,29,-3.0633535981178284,199,A1FinalModel,1.4936754,0.3345959595959596,1.9219267999993574e-157,0.6373857598927399,False,1.7064111,0.6850438074751736,1.6328399,brownian,6.0,7.0,7.0,7.0,6.647058823529412,6.75,6.647058823529412
