model_id,datasets_evaluated,weighted_average_rank_overall,unweighted_average_rank_overall,best_dataset,worst_dataset,ks_statistic_mean,ks_statistic_std,ks_rank_mean,wasserstein_distance_mean,wasserstein_distance_std,wasserstein_rank_mean,std_rmse_mean,std_rmse_std,std_rank_mean,rmse_mean,rmse_std,rmse_rank_mean,distributional_score,overall_rank_position
B4,8,3.9264705882352944,4.375,fbm_h03,fbm_h07,0.2108585858585858,0.11528979887030728,3.75,0.249954546503369,0.1438261690534897,3.75,0.24011470125,0.12259753315365927,2.75,0.7707247375,0.19243302804127496,7.25,3.75,1
B3,8,4.63970588235294,4.8125,brownian,heston,0.2677162247474747,0.1601094558518216,5.5,0.2371954906037695,0.10172293563794742,3.875,0.2510076275,0.153828924613353,3.375,0.7277480574999999,0.13883189416455752,6.5,4.761363636363637,2
B2,8,5.375,5.5625,fbm_h04,fbm_h03,0.3084359217171717,0.18185281599512157,6.25,0.3442618437976862,0.17997596186631087,5.625,0.24914078875,0.09676364151673593,2.5,0.83601208625,0.2139483767592582,7.875,5.965909090909091,3
B5_ADV,8,5.397058823529411,5.1875,fbm_h03,fbm_h07,0.31746093750000004,0.06598507455610025,7.875,0.2871698427423989,0.048086136615599025,3.75,0.35258242375000004,0.06007126241249209,3.75,0.5731995,0.06764277341055308,5.375,6.0,4
B1,8,5.911764705882353,5.75,rbergomi,fbm_h03,0.329821654040404,0.16985159692707744,8.125,0.3288366327842716,0.1615589944163095,4.75,0.33314228125,0.09563749386230597,3.875,0.7215386324999999,0.20732192026114984,6.25,6.590909090909091,5
B2_ADV,8,6.294117647058823,5.71875,brownian,fbm_h04,0.3314453125,0.029552530361734677,9.375,0.3127928572474299,0.04524299697238918,4.25,0.41766541625,0.05424343046924167,5.5,0.53746609,0.055554187164624354,3.75,7.045454545454546,6
B1_ADV,8,8.397058823529411,7.125,rbergomi,ou_process,0.399296875,0.019785223731992513,12.5,0.35828506561773865,0.04674032377563855,7.25,0.45046080499999996,0.052153794346286725,7.0,0.51668522625,0.05466505299499827,1.75,10.113636363636363,7
B5,8,8.485294117647058,7.65625,fbm_h06,heston,0.41122159090909094,0.1631422118886526,11.625,0.2984918267448322,0.086135046257585,6.25,0.5017904850000001,0.0211360371631385,8.875,0.57448768375,0.0617198024690705,3.875,9.181818181818182,8
A4,8,8.985294117647058,9.59375,heston,ou_process,0.24329229797979793,0.06141140003217756,5.625,0.9603494039865956,0.4731044300339689,10.25,1.36293980875,0.41602453881401386,11.375,2.075385475,0.7343982442805085,11.125,7.7272727272727275,9
B4_ADV,8,9.051470588235295,7.78125,brownian,fbm_h06,0.41109375000000004,0.03263108864914825,13.25,0.35949157379346114,0.048373074476795515,7.625,0.46161401125,0.05795231290153542,7.875,0.52243908875,0.053078385085748796,2.375,10.693181818181818,10
A1,8,9.323529411764707,10.0,rbergomi,fbm_h04,0.24573863636363635,0.07068713805057701,5.875,1.1270468338187811,0.6999608652274009,11.0,1.53593467,1.018972699294469,11.0,2.247102625,0.9630154924211087,12.125,8.204545454545455,11
A2_ADV,8,9.823529411764707,10.53125,fbm_h03,brownian,0.25903566919191917,0.033852892138559784,5.375,1.100054229314154,0.1210592424382343,12.0,1.645742975,0.21272432263941152,12.625,2.2894656625,0.2638246123758571,12.125,8.386363636363637,12
A3_ADV,8,10.25,10.6875,fbm_h03,heston,0.29537563131313127,0.03690569693898556,7.5,1.1855089819144542,0.15673839022566394,12.0,1.4039986625,0.21269351897549635,11.375,2.26368625,0.25035699755097146,11.875,9.545454545454545,13
A2,8,11.0,11.625,fbm_h06,fbm_h03,0.2956123737373737,0.04414293306416817,7.125,1.3738892425299087,0.3921035118978621,13.0,1.9621052250000002,0.5924342853032918,13.25,2.6642093125,0.5337126933534919,13.125,9.795454545454545,14
A3,8,13.139705882352942,13.59375,fbm_h03,rbergomi,0.3565735479797979,0.06703861316621403,10.25,5.697479763239451,6.255169066915705,14.625,16.5374543375,26.914708203589818,14.875,11.348259312500002,13.46080329983634,14.625,12.238636363636363,15
